[2026-04-04 11:41:06] [worker2_darcy_student_lift_wait_v1] selected gpu=0
[worker2/operator_darcy_student_lift_v1] log -> results/logs/operator_darcy_student_lift_v1/worker2/launcher.out
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1] gpu=0 seeds=0 1 2 epochs=90
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1] init_template=results/operator_ssml_tuned_v1/operator/darcy/deeponet_independent_mse_seed{seed}/model.pt
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1] peer_init_template=results/operator_ssml_tuned_v1/operator/darcy/fno_independent_mse_seed{seed}/model.pt
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] lock -> /home/namkyeong/ssmo/results/.locks/operator_darcy_student_lift_v1_ctrl_ft_lr3e4.lock
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] log -> results/logs/operator_darcy_student_lift_v1/ctrl_ft_lr3e4.log
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] output_dir=results/operator_darcy_student_lift_v1/ctrl_ft_lr3e4
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] methods=independent
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] model_pairs=deeponet:fno
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] dataset=darcy model=deeponet method=independent seed=0
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] loaded init_checkpoint=results/operator_ssml_tuned_v1/operator/darcy/deeponet_independent_mse_seed0/model.pt
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] run_dir=results/operator_darcy_student_lift_v1/ctrl_ft_lr3e4/operator/darcy/deeponet_independent_mse_seed0
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] params=592000
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] granularity=sample student_only=False freeze_peer=False peer_updates_disabled=False
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 020] lambda=0.0000 train_mse=0.01049761 val_mse=0.01745276 val_mae=0.09911114
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 020] updated live plot
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 021] lambda=0.0000 train_mse=0.01015360 val_mse=0.01714937 val_mae=0.09795538
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 022] lambda=0.0000 train_mse=0.00985852 val_mse=0.01659668 val_mae=0.09577471
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 023] lambda=0.0000 train_mse=0.00992404 val_mse=0.01773078 val_mae=0.09971867
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 024] lambda=0.0000 train_mse=0.01226130 val_mse=0.01915833 val_mae=0.10454282
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 025] lambda=0.0000 train_mse=0.01036292 val_mse=0.01733068 val_mae=0.09779737
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 026] lambda=0.0000 train_mse=0.00949550 val_mse=0.01654240 val_mae=0.09541846
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 027] lambda=0.0000 train_mse=0.01013605 val_mse=0.01647619 val_mae=0.09635332
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 028] lambda=0.0000 train_mse=0.00952092 val_mse=0.01667793 val_mae=0.09610272
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 029] lambda=0.0000 train_mse=0.00969603 val_mse=0.01609901 val_mae=0.09453148
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 030] lambda=0.0000 train_mse=0.00972694 val_mse=0.01609641 val_mae=0.09488941
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 031] lambda=0.0000 train_mse=0.00929278 val_mse=0.01623778 val_mae=0.09566241
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 032] lambda=0.0000 train_mse=0.01018270 val_mse=0.01595434 val_mae=0.09442410
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 033] lambda=0.0000 train_mse=0.01021175 val_mse=0.01619202 val_mae=0.09500999
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 034] lambda=0.0000 train_mse=0.00904678 val_mse=0.01571484 val_mae=0.09310124
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 035] lambda=0.0000 train_mse=0.00888062 val_mse=0.01555392 val_mae=0.09292113
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 036] lambda=0.0000 train_mse=0.00875634 val_mse=0.01564963 val_mae=0.09274540
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 037] lambda=0.0000 train_mse=0.00832458 val_mse=0.01489858 val_mae=0.09079685
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 038] lambda=0.0000 train_mse=0.00864866 val_mse=0.01568808 val_mae=0.09310680
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 039] lambda=0.0000 train_mse=0.00929768 val_mse=0.01757108 val_mae=0.09973756
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 040] lambda=0.0000 train_mse=0.01020001 val_mse=0.01704995 val_mae=0.09790519
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 040] updated live plot
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 041] lambda=0.0000 train_mse=0.00945930 val_mse=0.01561361 val_mae=0.09289661
